序号	类型	英文	中文释义	例句英文	例句中文	拓展
1	单词	subject	学科，科目	What subject do you like best?	你最喜欢什么学科？	
2	单词	Chinese	语文（课）；中国的	I like Chinese best.	我最喜欢语文。	
3	单词	English	英语（课）；英语的	I like reading English stories.	我喜欢读英语故事。	
4	单词	Maths	数学（课）	I like Maths. I'm good at it.	我喜欢数学，我很擅长。	
5	单词	PE	体育（课）	It's time for PE.	该上体育课了。	
6	单词	Art	美术（课）	We also have Art, PE and Music.	我们还有美术、体育和音乐课。	
7	单词	Science	科学（课）	Science is interesting.	科学课很有趣。	
8	单词	IT	信息科技（课）	I also like IT.	我也喜欢信息科技课。	*
9	单词	Music	音乐（课）	I like Music best.	我最喜欢音乐课。	
10	单词	Labour	劳动（课）	We have Chinese, Maths, English and Science.	我们有语文、数学、英语和科学课。	*
11	单词	best	最，最高程度地	What subject do you like best?	你最喜欢什么学科？	
12	单词	also	也	We also have Art, PE and Music.	我们还有美术、体育和音乐课。	
13	单词	It's time for ...	是……的时候了。	It's time for PE.	该上体育课了。	
14	单词	mouse	鼠标；老鼠	Mouse? I'm here!	老鼠？我在这儿！	
15	单词	Welcome back to ...	欢迎回到……	Welcome back to school, class.	欢迎回到学校，同学们。	
16	单词	be good at	擅长	I'm good at Maths.	我擅长数学。	
17	单词	interesting	有趣的，有吸引力的	Science is interesting.	科学课很有趣。	
18	单词	learn about	学习	I want to learn about Chinese culture.	我想了解中国文化。	
19	单词	culture	文化，文明	I want to learn about Chinese culture.	我想了解中国文化。	*
20	单词	read	阅读	I like reading English stories.	我喜欢读英语故事。	
21	单词	story	故事	I like reading English stories.	我喜欢读英语故事。	
22	单词	all	全部，都	We all like PE!	我们都喜欢体育课！	
23	单词	sports ground	操场，运动场	Let's go to the sports ground!	我们去操场吧！	*
